Date,ETH,LTC,XRP,Dominance
6/23/2017,0.1214,0.01692,0.0001088,39.6171
6/24/2017,0.1186,0.01658,0.0001081,39.1637
6/25/2017,0.1112,0.01626,0.0001028,39.8898
6/26/2017,0.105,0.01583,0.000102,42.6649
6/27/2017,0.1117,0.01567,0.0001027,42.4424
6/28/2017,0.1238,0.01641,0.0001048,40.316
6/29/2017,0.1156,0.01585,0.0001011,40.402
6/30/2017,0.1145,0.01603,0.0001009,40.77
7/1/2017,0.1085,0.01579,9.88E-05,41.9155
7/2/2017,0.1133,0.01653,0.0001009,41.7786
7/3/2017,0.1084,0.01785,9.91E-05,41.4784
7/4/2017,0.1033,0.02119,9.54E-05,41.807
7/5/2017,0.1019,0.02034,9.60E-05,42.0628
7/6/2017,0.1024,0.01964,9.62E-05,42.3571
7/7/2017,0.09634,0.01843,9.25E-05,43.4039
7/8/2017,0.09629,0.02007,9.03E-05,44.1845
7/9/2017,0.09477,0.01937,9.04E-05,44.2519
7/10/2017,0.08821,0.01915,7.91E-05,45.5179
7/11/2017,0.08268,0.01904,7.62E-05,47.7878
7/12/2017,0.09415,0.01974,8.26E-05,45.8531
7/13/2017,0.08776,0.0194,8.16E-05,46.5849
7/14/2017,0.08911,0.01921,8.28E-05,46.3599
7/15/2017,0.0859,0.01938,8.70E-05,46.4469
7/16/2017,0.08127,0.0213,7.69E-05,47.6989
7/17/2017,0.08545,0.019,7.79E-05,47.418
7/18/2017,0.09854,0.01888,7.73E-05,45.6789
7/19/2017,0.08619,0.01773,7.21E-05,45.2898
7/20/2017,0.07976,0.0157,6.68E-05,47.334
7/21/2017,0.08139,0.01703,6.87E-05,47.7901
7/22/2017,0.08182,0.01652,6.95E-05,47.8192
7/23/2017,0.08315,0.01638,7.16E-05,47.2712
7/24/2017,0.0818,0.01627,6.94E-05,47.3191
7/25/2017,0.07944,0.01647,6.80E-05,48.2152
7/26/2017,0.08032,0.01663,6.87E-05,47.8072
7/27/2017,0.07626,0.01568,6.47E-05,48.4226
7/28/2017,0.06863,0.0143,5.84E-05,51.1245
7/29/2017,0.07594,0.01513,6.25E-05,51.0159
7/30/2017,0.07098,0.01456,5.92E-05,50.4265
7/31/2017,0.07012,0.01474,5.74E-05,50.9395
8/1/2017,0.08285,0.01582,6.51E-05,48.4963
8/2/2017,0.0806,0.01546,6.36E-05,45.1355
8/3/2017,0.08043,0.0152,6.25E-05,44.0735
8/4/2017,0.07717,0.01503,6.07E-05,46.5432
8/5/2017,0.07785,0.01418,5.67E-05,47.9548
8/6/2017,0.08197,0.01405,5.57E-05,47.5314
8/7/2017,0.07946,0.0135,5.24E-05,46.8343
8/8/2017,0.08662,0.01432,5.72E-05,45.8784
8/9/2017,0.08829,0.01425,5.51E-05,45.3298
8/10/2017,0.08696,0.0137,5.29E-05,45.2856
8/11/2017,0.08471,0.01287,4.88E-05,45.6645
8/12/2017,0.07961,0.01191,4.44E-05,47.7254
8/13/2017,0.07302,0.01114,4.08E-05,49.3675
8/14/2017,0.06919,0.01054,3.89E-05,50.7234
8/15/2017,0.06897,0.01033,3.79E-05,50.4688
8/16/2017,0.06868,0.01002,3.66E-05,50.2611
8/17/2017,0.07013,0.01022,3.68E-05,49.6664
8/18/2017,0.07123,0.0114,3.85E-05,48.5982
8/19/2017,0.07061,0.01084,3.68E-05,46.933
8/20/2017,0.07335,0.01127,3.88E-05,46.8698
8/21/2017,0.08044,0.012,4.93E-05,46.0735
8/22/2017,0.07662,0.01135,5.94E-05,46.0998
8/23/2017,0.0766,0.01303,5.94E-05,45.2034
8/24/2017,0.07541,0.01152,5.02E-05,45.9978
8/25/2017,0.07566,0.01175,4.98E-05,46.9125
8/26/2017,0.07662,0.01188,4.83E-05,45.7539
8/27/2017,0.08027,0.01396,4.65E-05,45.9214
8/28/2017,0.07942,0.01419,5.14E-05,45.0381
8/29/2017,0.08121,0.01385,4.80E-05,45.7394
8/30/2017,0.08375,0.01437,5.07E-05,45.2979
8/31/2017,0.08205,0.01539,5.49E-05,45.1955
9/1/2017,0.0796,0.01781,5.16E-05,44.9713
9/2/2017,0.07625,0.01726,4.96E-05,46.1697
9/3/2017,0.07636,0.01714,5.01E-05,45.9427
9/4/2017,0.07047,0.01582,4.84E-05,48.2565
9/5/2017,0.07218,0.01671,4.92E-05,47.5104
9/6/2017,0.07338,0.01766,5.03E-05,46.7657
